directors,numberall,runtimeminutes,averagerating,numvotes
nm0378786,1,99.0,6.00,42
nm0378794,1,100.0,6.10,1571
nm0378825,1,90.0,8.40,5
nm0378893,13,104.5,6.09,532779
nm0378932,2,107.0,6.20,2152
nm0379000,1,80.0,8.80,9
nm0379007,1,88.0,6.30,10
nm0379030,1,94.0,7.70,10
nm0379063,1,106.0,7.10,17
nm0379086,1,90.0,7.20,12
nm0379088,4,86.5,7.68,171
nm0379092,50,74.0,5.54,2857
nm0379108,2,73.0,3.75,31
nm0379113,1,86.0,5.20,113
nm0379150,6,94.3,5.80,3353
nm0379179,6,94.7,6.58,232607
nm0379198,2,80.5,5.85,26
nm0379237,4,90.0,5.80,82435
nm0379291,6,91.0,6.48,85
nm0379352,1,53.0,8.40,5
nm0379356,5,91.6,5.40,1247
nm0379391,45,83.6,4.90,10806
nm0379409,2,100.0,7.00,834
nm0379445,29,93.6,6.22,2780
nm0379449,8,107.3,5.98,1919
nm0379593,1,75.0,6.10,39
nm0379602,1,81.0,6.20,12
nm0379632,1,87.0,8.60,7
nm0379718,1,105.0,5.20,108
nm0379730,1,,7.00,18
nm0379773,5,102.8,6.30,50288
nm0379775,8,101.6,5.73,17608
nm0379797,3,78.0,6.17,2089
nm0379872,11,113.0,5.69,5329
nm0380097,6,100.8,6.53,1539
nm0380133,1,,4.80,11
nm0380178,1,84.0,5.70,15
nm0380248,1,,5.50,17
nm0380299,7,107.2,5.99,200
nm0380325,5,84.3,5.88,1120
nm0380339,1,150.0,7.50,1741
nm0380365,3,200.0,6.70,22
nm0380415,1,80.0,7.30,1065
nm0380442,1,,2.70,18
nm0380448,5,87.8,4.28,61
nm0380463,4,108.3,6.50,76
nm0380478,6,78.7,6.67,66
nm0380526,2,102.0,6.70,154
nm0380543,2,92.5,5.25,79
nm0380547,19,100.3,5.94,4921
nm0380569,6,91.3,5.63,47
nm0380579,1,84.0,3.30,16
nm0380581,2,92.0,6.45,24
nm0380628,1,91.0,5.80,3931
nm0380702,2,73.0,5.45,166
nm0380705,8,103.9,6.26,127174
nm0380718,2,84.5,6.65,19
nm0380740,1,80.0,7.60,43
nm0380819,2,95.0,6.15,710
nm0380831,2,107.0,6.80,3128
nm0380835,1,90.0,6.00,18
nm0380859,1,80.0,4.60,846
nm0380860,1,85.0,7.90,85
nm0380922,3,103.0,6.07,404
nm0380953,1,83.0,6.80,90
nm0380957,2,91.5,6.40,5881
nm0380961,9,75.7,5.80,2297
nm0380967,1,52.0,6.70,51
nm0380975,1,87.0,5.50,11
nm0380980,2,105.0,6.85,19768
nm0380982,5,108.6,6.58,218
nm0381076,2,83.0,5.80,23
nm0381088,1,80.0,3.70,192
nm0381094,1,95.0,6.60,28
nm0381116,1,62.0,8.30,10713
nm0381178,3,76.0,6.13,45
nm0381206,1,,6.70,10
nm0381228,25,97.9,6.49,12463
nm0381230,8,93.3,5.03,41280
nm0381273,7,100.1,5.50,97959
nm0381279,1,,7.40,7
nm0381295,1,89.0,4.60,56
nm0381305,9,96.1,6.57,7798
nm0381318,2,71.5,7.50,242
nm0381328,2,84.0,5.55,240
nm0381365,2,91.5,6.95,195
nm0381392,7,120.3,7.46,892
nm0381414,2,70.5,7.15,77
nm0381416,2,94.0,6.60,126258
nm0381435,1,93.0,5.60,523
nm0381450,1,87.0,4.70,1237
nm0381460,1,90.0,4.80,164
nm0381478,5,92.4,6.02,342445
nm0381481,4,168.8,7.83,49
nm0381489,7,88.8,4.81,7637
nm0381532,1,85.0,7.40,13
nm0381537,2,80.0,6.70,943
nm0381541,1,88.0,6.30,19
nm0381599,2,75.0,6.00,204
nm0381612,1,72.0,5.90,14
nm0381638,18,97.1,5.26,24228
nm0381699,4,105.0,6.13,28852
nm0381714,1,107.0,6.60,249
nm0381758,1,59.0,8.80,15
nm0381783,2,106.5,5.65,309
nm0381810,3,82.0,5.77,55
nm0381841,2,83.5,7.50,98
nm0381853,2,92.5,5.85,164
nm0381858,3,111.3,6.23,507
nm0381869,2,73.0,7.85,40
nm0381870,10,96.8,5.63,2215
nm0381988,1,89.0,5.70,32
nm0382019,8,83.5,3.80,2490
nm0382054,6,89.8,4.75,10520
nm0382057,1,383.0,7.90,38
nm0382072,9,89.6,5.32,216258
nm0382080,4,94.0,4.40,754
nm0382110,2,87.0,5.55,5785
nm0382147,1,93.0,6.90,203
nm0382171,6,91.8,5.48,454
nm0382178,2,97.0,6.55,35
nm0382217,4,86.8,7.20,2773
nm0382227,2,93.0,5.50,1684
nm0382291,5,91.0,5.86,145
nm0382327,9,98.6,5.96,1043
nm0382337,6,78.4,7.70,177
nm0382340,4,114.0,7.25,593
nm0382352,1,92.0,5.70,228
nm0382427,1,86.0,6.60,199
nm0382441,1,,5.00,6
nm0382529,11,85.6,6.45,9228
nm0382548,2,82.5,6.65,804
nm0382569,12,93.5,6.11,930
nm0382584,12,94.5,6.19,64569
nm0382598,1,87.0,3.40,45
nm0382607,1,77.0,3.80,464
nm0382638,2,51.5,8.05,13
nm0382668,1,80.0,6.10,20
nm0382674,1,127.0,7.90,73
nm0382730,1,,6.50,13
nm0382776,16,94.9,5.26,59716
nm0382779,10,90.8,6.27,26510
nm0382783,7,90.8,4.70,8153
nm0382794,1,58.0,7.00,60
nm0382839,1,90.0,4.20,324
nm0382942,7,77.6,5.90,2367
nm0382956,13,112.8,6.83,295236
nm0382965,2,88.5,6.70,49
nm0382989,2,104.5,7.35,690
nm0383020,3,64.0,7.33,567
nm0383024,1,77.0,6.60,34
nm0383056,1,117.0,9.40,5
nm0383092,1,75.0,5.80,5
nm0383111,1,88.0,7.70,32
nm0383148,4,91.0,7.43,229
nm0383167,3,103.7,6.77,142
nm0383173,1,82.0,7.10,38
nm0383268,2,95.0,7.85,146
nm0383271,1,98.0,5.80,14
nm0383304,13,68.0,5.92,2706
nm0383343,3,94.0,5.70,1721
nm0383359,3,113.0,6.53,50384
nm0383489,1,,8.40,5
nm0383510,23,87.5,7.68,814
nm0383682,1,,8.50,14
nm0383688,8,111.3,5.66,40790
nm0383692,2,80.0,5.55,7415
nm0383706,2,90.0,6.00,59
nm0383733,1,101.0,6.40,744
nm0383740,2,,5.45,25
nm0383742,1,61.0,7.00,40
nm0383774,2,93.0,4.90,968
nm0383776,12,91.7,4.83,1933
nm0383792,1,88.0,8.70,6
nm0383796,1,77.0,4.90,11
nm0383821,1,180.0,6.30,27
nm0383831,1,91.0,4.40,30
nm0383855,5,91.6,4.92,2650
nm0383856,20,92.1,4.57,701
nm0383900,1,87.0,6.30,9
nm0383942,1,,6.80,30
nm0383958,1,85.0,5.10,215
nm0384021,1,,5.70,9
nm0384089,5,81.5,6.74,792
nm0384187,1,54.0,7.90,15
nm0384259,1,78.0,6.80,22
nm0384276,13,90.2,6.58,13882
nm0384325,1,80.0,8.40,16
nm0384335,18,85.4,5.23,49809
nm0384342,21,87.9,6.28,11747
nm0384346,1,88.0,4.50,25
nm0384349,1,105.0,7.10,33
nm0384377,4,79.5,6.18,219
nm0384431,1,51.0,8.00,6
nm0384443,1,81.0,5.70,26
nm0384616,61,86.6,5.34,4379
nm0384617,2,65.5,4.90,23
nm0384628,1,89.0,4.80,45
nm0384682,21,77.8,5.60,469
nm0384722,8,88.6,5.68,186121
nm0384784,1,,5.50,20
nm0384825,7,101.9,6.97,563806
nm0384830,4,93.8,5.98,28
nm0384852,1,87.0,5.50,152
nm0384856,3,72.7,7.43,75
nm0384862,6,87.2,4.42,14825
nm0384863,5,89.6,3.90,14778
nm0384864,1,87.0,7.10,77865
nm0384865,1,92.0,5.30,159
nm0384879,2,102.0,7.15,96
nm0384886,2,106.5,3.95,1133
nm0384941,1,,7.70,7
nm0384965,3,74.7,5.13,340
nm0385009,1,,5.00,6
nm0385050,2,85.0,4.70,519
nm0385089,6,94.3,4.42,1304
nm0385091,1,57.0,6.80,5
nm0385110,1,90.0,5.10,13
nm0385138,6,100.8,6.28,1108
nm0385171,117,62.5,6.07,14351
nm0385193,5,98.6,6.48,98
nm0385194,1,85.0,7.40,11
nm0385209,1,163.0,8.90,274
nm0385227,4,67.8,5.30,1664
nm0385255,1,122.0,2.20,348
nm0385349,1,84.0,6.30,26432
nm0385353,1,79.0,5.10,27
nm0385356,1,84.0,5.20,5
nm0385392,1,93.0,5.90,286
nm0385450,2,92.0,7.45,28
nm0385565,3,92.0,6.87,36
nm0385642,6,75.7,6.47,95
nm0385644,1,81.0,5.40,7802
nm0385674,1,,5.00,34
nm0385725,4,104.3,6.50,1573
nm0385726,3,93.0,4.37,453
nm0385758,8,142.0,6.24,426
nm0385760,2,177.5,5.35,248
nm0385761,1,80.0,8.10,19
nm0385787,1,93.0,7.40,12
nm0385796,2,85.5,5.80,83
nm0385861,1,89.0,6.80,605
nm0385872,5,88.8,6.04,58
nm0385945,1,80.0,7.20,5
nm0385961,1,103.0,7.10,122
nm0385963,2,67.0,6.65,32
nm0385978,3,51.7,8.07,131
nm0386032,6,97.8,7.25,665
nm0386100,2,90.0,4.55,2011
nm0386117,1,87.0,7.00,241
nm0386123,1,80.0,7.00,6
nm0386156,1,,1.90,156
nm0386162,3,56.0,4.93,3546
nm0386185,2,85.0,6.60,391
nm0386246,5,155.6,8.10,658317
nm0386303,9,70.8,6.42,1925
nm0386312,18,111.7,6.46,3158
nm0386330,1,60.0,7.40,87
nm0386351,3,83.7,6.37,137
nm0386378,2,112.0,6.75,656
nm0386382,43,106.0,6.11,8065
nm0386384,3,56.0,6.77,3134
nm0386401,1,,6.40,18
nm0386410,2,106.0,6.75,400
nm0386411,2,92.0,4.95,362
nm0386419,1,,6.20,6
nm0386427,1,67.0,6.90,8
nm0386431,1,,7.20,8
nm0386443,1,83.0,4.00,1333
nm0386451,1,78.0,7.40,8
nm0386504,3,90.0,5.87,679
nm0386570,8,108.8,6.70,531642
nm0386589,1,110.0,5.80,16
nm0386603,1,92.0,7.90,15
nm0386620,1,85.0,2.60,215
nm0386650,1,69.0,5.60,13
nm0386677,1,60.0,8.10,14
nm0386706,11,107.4,7.31,2138
nm0386727,1,92.0,6.20,223
nm0386729,4,115.8,5.88,1588
nm0386744,2,95.0,6.75,59
nm0386749,1,113.0,7.00,24
nm0386756,7,113.1,6.61,76
nm0386785,29,75.1,5.80,1634
nm0386817,1,58.0,6.70,7
nm0386827,1,98.0,8.60,19
nm0386828,1,98.0,8.60,19
nm0386892,2,100.0,7.95,89
nm0386931,1,,7.60,17
nm0386957,6,73.0,6.97,525
nm0386973,4,71.3,5.05,459
nm0386985,3,81.0,5.73,294
nm0386989,1,100.0,3.50,6
nm0386991,4,93.8,4.85,911
nm0387002,18,71.4,5.96,3988
nm0387011,3,101.3,6.37,265
nm0387044,1,75.0,6.90,87
nm0387071,1,118.0,4.80,16
nm0387122,2,92.5,4.90,1923
nm0387135,4,66.5,7.35,56
nm0387140,2,91.5,5.60,57
nm0387162,10,91.7,6.47,700
nm0387198,1,87.0,7.30,11
nm0387260,1,85.0,4.40,13
nm0387293,12,90.3,5.33,322
nm0387306,2,102.5,6.20,832
nm0387337,1,88.0,7.30,957
nm0387338,2,81.0,5.90,28
nm0387344,3,90.7,5.23,75
nm0387354,40,93.5,6.34,7131
nm0387365,6,110.5,5.12,181
nm0387374,1,87.0,4.60,35
nm0387378,1,105.0,5.10,246
nm0387388,1,93.0,5.50,62
nm0387399,6,97.0,6.02,2075
nm0387411,1,95.0,5.60,13
nm0387541,1,99.0,5.70,9008
nm0387589,3,91.0,4.87,812
nm0387596,1,50.0,4.80,25
nm0387599,1,91.0,7.60,76
nm0387605,1,92.0,5.90,2706
nm0387646,2,82.0,4.10,206
nm0387666,1,100.0,7.00,11
nm0387683,12,106.3,5.46,4547
nm0387700,3,83.0,7.20,1723
nm0387701,4,79.8,6.00,120
nm0387702,2,106.0,6.80,761
nm0387706,6,118.3,6.95,642584
nm0387770,4,93.3,6.50,1695
nm0387773,1,90.0,7.80,61
nm0387780,1,108.0,5.20,649
nm0387791,15,82.2,6.77,391
nm0387800,2,64.0,7.15,1826
nm0387828,5,109.8,6.14,2377
nm0387844,1,87.0,6.20,24
nm0387853,2,79.0,6.00,18
nm0387890,6,96.4,7.72,2427
nm0387908,4,81.8,7.00,1262
nm0387948,1,86.0,5.50,255
nm0387972,1,,8.90,18
nm0387976,2,92.5,6.10,6120
nm0388014,1,82.0,7.20,22
nm0388023,1,90.0,8.00,31
nm0388066,1,83.0,8.10,18
nm0388071,1,100.0,8.20,13
nm0388073,1,58.0,7.50,6
nm0388091,1,86.0,7.80,745
nm0388129,5,94.8,6.14,1476
nm0388198,11,98.2,6.13,146078
nm0388218,1,,6.00,15
nm0388273,1,,6.90,55
nm0388302,6,93.2,4.08,1726
nm0388315,1,84.0,5.60,57
nm0388338,1,88.0,6.00,201
nm0388366,4,120.0,4.33,234
nm0388411,1,65.0,3.00,8
nm0388425,1,95.0,5.70,260
nm0388430,1,74.0,7.30,81
nm0388460,1,,7.50,10
nm0388471,5,96.6,6.10,566
nm0388473,1,88.0,5.10,820
nm0388477,1,87.0,6.10,1230
nm0388487,2,109.5,6.85,124
nm0388507,1,85.0,5.50,192
nm0388510,1,90.0,7.80,47
nm0388554,4,62.5,4.75,157
nm0388568,1,98.0,5.30,210
nm0388573,1,,5.00,5
nm0388581,1,81.0,6.40,9
nm0388593,3,96.0,7.37,28
nm0388594,2,92.0,5.45,733
nm0388608,7,87.0,5.60,2633
nm0388629,1,87.0,3.50,555
nm0388648,37,88.5,5.08,5917
nm0388674,2,,5.10,20
nm0388777,1,72.0,7.70,32
nm0388792,3,90.0,3.60,2498
nm0388817,1,106.0,5.70,55029
nm0388855,4,84.5,7.35,171
nm0388888,1,93.0,5.60,294
nm0388896,1,73.0,5.60,53
nm0388909,2,73.0,5.45,268
nm0388913,3,89.3,5.93,1806
nm0388933,1,90.0,5.50,1555
nm0388956,13,130.4,6.55,14364
nm0388965,5,63.6,6.16,639
nm0388968,3,74.0,7.97,112
nm0388971,1,88.0,5.10,4028
nm0389054,1,102.0,5.90,66
nm0389057,2,69.5,5.80,44
nm0389066,3,68.0,6.70,21
nm0389083,1,93.0,6.00,912
nm0389109,1,112.0,6.50,21
nm0389133,2,83.5,4.20,216
nm0389154,1,91.0,6.50,12
nm0389155,3,81.3,6.30,28
nm0389161,1,94.0,7.00,238
nm0389170,1,90.0,6.00,34
nm0389219,43,94.0,6.46,5781
nm0389233,1,93.0,6.10,8
nm0389250,2,93.5,7.30,394
nm0389275,1,,7.20,12
nm0389285,2,102.0,5.80,183
nm0389311,3,103.0,4.77,1440
nm0389325,1,62.0,7.50,11
nm0389337,1,83.0,7.10,336
nm0389373,1,103.0,6.30,6
nm0389386,2,91.0,6.40,381
nm0389415,13,96.1,5.49,6144
nm0389426,1,97.0,6.00,7
nm0389431,1,107.0,6.30,454
nm0389514,2,98.5,4.45,30452
nm0389591,7,108.9,6.40,310575
nm0389596,1,105.0,6.70,254
nm0389647,3,79.7,7.27,343
nm0389666,2,94.0,5.50,1357
nm0389712,4,109.5,6.35,13746
nm0389830,1,113.0,4.60,12
nm0389883,1,99.0,5.30,586
nm0389885,2,90.5,5.90,325
nm0389914,3,79.3,5.43,51
nm0389916,1,99.0,6.30,91
nm0389972,1,93.0,5.00,366
nm0389993,2,80.0,5.30,209
nm0390039,1,87.0,4.10,296
nm0390063,1,88.0,3.80,128
nm0390103,2,92.0,4.80,1130
nm0390108,1,108.0,8.50,24
nm0390160,3,76.0,5.00,314
nm0390226,1,101.0,6.50,1468
nm0390227,1,,6.00,135
nm0390335,2,82.0,6.95,29
nm0390337,1,92.0,5.10,13
nm0390396,1,115.0,8.80,29
nm0390402,7,73.0,5.57,2140
nm0390408,1,88.0,8.50,14
nm0390435,1,85.0,4.70,407
nm0390437,6,73.8,8.38,96
nm0390446,3,99.3,5.60,249
nm0390479,11,78.6,5.56,839
nm0390563,1,95.0,6.30,91
nm0390728,1,94.0,6.70,13
nm0390733,1,84.0,7.80,31
nm0390742,2,93.0,5.00,29
nm0390764,1,94.0,5.00,122
nm0390803,1,90.0,8.30,18
nm0390822,6,82.8,5.42,58704
nm0390844,3,100.3,5.53,24644
nm0390870,3,63.3,5.30,48
nm0390874,1,83.0,2.60,293
nm0390884,1,80.0,2.20,9
nm0390889,4,116.7,7.83,76
nm0390929,2,85.0,4.50,1243
nm0390974,1,97.0,3.40,694
nm0391058,2,91.0,6.30,198
nm0391204,1,106.0,6.80,28
nm0391251,1,85.0,4.60,37
nm0391306,1,92.0,4.90,11
nm0391312,1,97.0,5.40,136
nm0391356,1,59.0,6.90,107
nm0391440,3,70.0,5.17,71
nm0391473,3,97.0,6.30,434
nm0391496,1,54.0,5.40,5
nm0391502,11,103.0,5.56,62689
nm0391557,1,122.0,6.30,1449
nm0391572,1,82.0,6.40,5
nm0391617,7,101.2,5.76,58
nm0391640,1,92.0,4.60,5
nm0391679,2,88.5,5.60,700
nm0391680,1,95.0,6.40,9
nm0391701,2,83.0,4.45,57
nm0391739,2,100.5,7.60,4459
nm0391750,11,65.8,6.13,2107
nm0391771,2,79.0,7.10,18
nm0391828,7,74.8,5.43,363
nm0391847,2,1428.0,6.05,89
nm0391857,2,72.0,5.55,44
nm0391996,1,75.0,7.10,10502
nm0392060,1,90.0,2.60,16
nm0392127,3,99.3,4.70,58
nm0392152,5,81.4,5.80,110
nm0392161,1,73.0,3.30,6
nm0392181,4,96.8,4.58,60
nm0392227,1,48.0,7.70,9
nm0392237,6,90.5,6.48,112511
nm0392250,2,100.5,6.50,37
nm0392319,6,108.5,6.35,20404
nm0392324,3,82.3,4.63,888
nm0392325,1,98.0,7.20,6
nm0392435,5,88.4,7.10,278
nm0392448,6,85.7,4.33,262
nm0392455,4,79.5,4.53,304
nm0392519,6,91.3,6.55,13203
nm0392548,1,,6.20,6
nm0392709,5,80.0,5.42,102
nm0392770,2,104.0,4.75,712
nm0392775,1,65.0,7.00,8
nm0392813,3,94.0,7.37,403
nm0392833,6,78.8,5.25,5201
nm0392837,10,97.5,4.73,2371
nm0392885,1,56.0,8.20,10
nm0392929,1,46.0,7.40,7
nm0392945,1,86.0,5.50,255
nm0393006,1,50.0,6.90,41
nm0393024,1,81.0,6.60,17
nm0393025,4,84.3,7.98,163
nm0393038,2,90.0,2.20,131
nm0393064,2,90.5,6.50,143
nm0393075,11,94.0,5.55,2982
nm0393094,64,90.6,6.53,164713
nm0393099,2,100.5,5.80,16
nm0393124,7,112.7,6.54,456
nm0393155,5,85.3,5.58,90
nm0393166,1,90.0,7.10,117
nm0393201,1,93.0,6.30,90
nm0393207,2,78.5,4.50,396
nm0393212,4,89.0,5.78,1576
nm0393222,3,90.3,4.40,927
nm0393234,4,116.3,6.30,6471
nm0393235,4,103.5,6.53,512
nm0393254,26,99.3,6.79,33831
nm0393297,4,89.0,6.70,134
nm0393322,14,93.2,7.28,1473
nm0393345,13,94.3,6.04,2458
nm0393394,12,102.6,5.99,35469
nm0393415,1,89.0,4.80,608
nm0393420,2,92.0,7.20,144
nm0393450,3,87.0,4.97,1138
nm0393470,1,88.0,5.70,35
nm0393496,1,87.0,5.90,216
nm0393512,2,81.5,5.40,378
nm0393549,1,58.0,4.20,5
nm0393554,4,97.0,6.45,664
nm0393559,3,112.3,7.37,395
nm0393566,3,93.3,7.20,290
nm0393591,4,81.5,6.48,28540
nm0393593,2,104.0,8.00,22
nm0393650,1,91.0,4.20,501
nm0393655,2,93.5,4.65,2829
nm0393661,4,88.8,5.55,63086
nm0393674,1,94.0,5.80,400
nm0393678,4,105.8,5.48,13306
nm0393682,10,74.6,6.29,138
nm0393697,1,102.0,8.70,52
nm0393799,6,118.8,6.63,1181444
nm0393869,1,54.0,9.40,9
nm0393874,3,97.5,5.57,1266
nm0393988,3,89.0,4.50,1021
nm0394014,1,,7.90,21
nm0394022,1,93.0,3.90,124
nm0394024,3,95.3,4.73,10583
nm0394032,1,106.0,5.50,3096
nm0394053,1,100.0,4.60,728
nm0394109,1,68.0,6.40,305
nm0394114,6,90.5,6.85,3111
nm0394119,1,88.0,5.50,2619
nm0394123,2,84.0,6.50,91
nm0394162,1,100.0,4.80,127
nm0394164,1,,5.40,5
nm0394199,4,96.5,6.38,39445
nm0394201,1,83.0,3.90,94
nm0394212,2,88.0,5.90,7579
nm0394233,1,93.0,8.00,1025
nm0394280,12,109.6,6.16,467635
nm0394307,1,,6.60,5
nm0394309,1,90.0,6.60,59
nm0394357,1,92.0,7.90,1794
nm0394372,2,98.0,6.10,148
nm0394399,23,70.0,6.23,1948
nm0394409,18,89.9,5.94,6714
nm0394477,2,58.0,5.75,69
nm0394502,2,85.0,5.50,90
nm0394510,1,88.0,1.90,3199
nm0394513,2,98.0,6.85,551
nm0394524,1,80.0,7.50,41
nm0394605,1,90.0,8.20,16
nm0394665,2,95.0,4.25,189
nm0394670,1,107.0,6.40,117
nm0394676,7,86.7,5.50,1358
nm0394687,11,101.7,6.64,526
nm0394717,1,98.0,4.30,1900
nm0394730,1,83.0,5.30,76
nm0394743,1,360.0,6.70,15
nm0394756,1,92.0,7.00,1443
nm0394776,9,97.9,6.42,26366
nm0394793,4,102.0,7.13,2931
nm0394815,11,94.6,7.30,519
nm0394834,1,90.0,8.10,8
nm0394841,1,95.0,5.20,17545
nm0394873,3,97.3,6.10,316
nm0394905,3,79.7,6.40,128
nm0394944,1,89.0,5.30,1779
nm0395023,34,170.1,6.37,17194
nm0395050,1,90.0,3.20,10
nm0395074,1,93.0,6.10,37
nm0395091,2,90.0,6.65,832
nm0395105,7,84.9,6.13,4680
nm0395130,9,55.1,4.80,184
nm0395185,1,90.0,5.10,29
nm0395228,2,121.0,4.55,492
nm0395262,2,79.0,5.65,8618
nm0395368,1,94.0,5.60,212
nm0395372,1,,8.20,23
nm0395466,6,78.0,7.05,258
nm0395474,1,70.0,8.20,18
nm0395483,4,82.8,6.50,613
nm0395501,1,92.0,6.50,42
nm0395544,1,70.0,4.70,66
nm0395580,1,60.0,7.80,27
nm0395609,1,94.0,6.40,51
nm0395698,10,83.1,5.78,538
nm0395705,2,86.5,5.35,633
nm0395743,1,75.0,7.30,121
nm0395776,1,87.0,6.90,35
nm0395783,1,114.0,3.50,652
nm0395814,2,87.5,6.45,23
nm0395816,1,94.0,7.00,212
nm0395907,1,92.0,2.00,106
nm0395937,1,52.0,6.60,37
nm0395956,1,,6.20,12
nm0395965,1,83.0,5.90,15
nm0396002,5,100.4,7.62,435
nm0396017,1,86.0,4.10,1776
nm0396043,1,76.0,6.70,3830
nm0396057,1,85.0,6.20,22
nm0396074,7,102.3,7.33,163123
nm0396075,1,85.0,7.20,26005
nm0396102,2,164.0,7.40,28
nm0396108,2,89.5,6.75,92
nm0396110,1,63.0,6.20,22
nm0396136,15,97.0,6.39,3896
nm0396141,1,157.0,6.70,258
nm0396169,1,80.0,6.20,14
nm0396248,5,65.8,7.26,76
nm0396284,21,112.0,7.00,56773
nm0396290,2,119.5,6.55,813
nm0396321,6,90.0,4.57,1880
nm0396364,1,,5.90,47
nm0396378,2,84.0,6.00,124
nm0396391,1,95.0,3.50,276
nm0396421,16,92.9,6.00,53949
nm0396426,2,83.5,5.95,10908
nm0396428,1,73.0,6.40,38
nm0396441,1,,6.60,5
nm0396524,1,125.0,6.60,478
nm0396561,1,72.0,6.50,30
nm0396612,4,98.8,6.30,336
nm0396681,1,99.0,6.60,185
nm0396687,3,90.3,3.93,606
nm0396698,2,77.0,6.95,50
nm0396741,1,93.0,6.50,89
nm0396789,2,97.5,6.40,13
nm0396811,1,84.0,5.50,57
nm0396812,4,91.5,5.38,2297
nm0396817,1,120.0,7.90,76
nm0396860,1,65.0,5.10,65
nm0396876,2,100.5,5.80,1860
nm0396884,6,91.2,6.43,10258
nm0396913,2,80.5,6.40,259
nm0396933,8,86.8,6.30,2938
nm0396951,3,82.0,4.83,36
nm0396985,2,99.5,6.60,12179
nm0396994,4,127.0,7.90,701
nm0396998,7,87.7,5.24,3712
nm0397052,1,95.0,7.70,41
nm0397056,1,58.0,8.40,11
nm0397062,8,94.8,5.43,394
nm0397071,2,58.5,6.80,51
nm0397124,1,111.0,6.00,622
nm0397162,2,112.0,6.50,58
nm0397171,1,81.0,6.40,736
nm0397172,1,79.0,5.00,6
nm0397174,3,101.3,7.50,1013742
nm0397184,22,81.9,6.49,918
nm0397220,2,98.0,5.90,1243
nm0397224,1,,7.70,13
nm0397227,38,72.1,5.99,3329
nm0397252,1,60.0,7.50,6
nm0397254,1,109.0,2.70,14
nm0397265,1,102.0,6.40,126
nm0397298,1,82.0,5.00,183
nm0397313,1,90.0,1.00,8
nm0397340,4,83.0,5.60,97
nm0397370,2,82.5,6.55,84
nm0397413,1,77.0,7.50,136
nm0397431,2,100.5,4.80,1344
nm0397526,2,106.0,5.25,544
nm0397535,1,91.0,5.30,67
nm0397565,1,93.0,5.70,2282
nm0397590,3,91.3,5.43,1150
nm0397678,35,74.8,6.09,10515
nm0397700,1,110.0,8.20,87
nm0397712,2,87.5,4.40,115
nm0397775,1,80.0,6.00,5
nm0397791,1,93.0,5.60,227
nm0397834,1,82.0,7.60,3787
nm0397850,4,74.0,5.48,42
nm0397875,1,108.0,6.40,45
nm0397927,2,78.0,5.00,872
nm0397959,1,74.0,5.20,364
nm0397970,2,94.0,5.95,10356
nm0398136,2,91.0,6.45,99
nm0398185,7,97.6,5.96,281567
nm0398244,1,75.0,5.60,2125
nm0398253,1,76.0,4.50,68
nm0398258,1,75.0,4.60,454
nm0398271,5,88.0,5.50,409
nm0398314,3,90.0,4.80,42
nm0398446,1,50.0,6.50,19
nm0398464,7,69.2,6.40,4870
nm0398507,3,98.0,7.50,1191
nm0398551,2,80.0,6.80,74
nm0398555,4,144.8,7.25,32687
nm0398575,21,102.7,6.57,21146
nm0398585,1,83.0,8.10,1334
nm0398596,3,100.0,6.97,1811
nm0398599,1,84.0,4.80,23
nm0398619,1,111.0,5.90,402
nm0398651,1,90.0,2.70,244
nm0398703,2,88.0,6.25,18
nm0398719,4,95.5,4.93,2174
nm0398739,24,89.4,5.98,4293
nm0398750,2,94.5,5.90,36
nm0398771,28,93.0,5.96,3552
nm0398773,1,89.0,5.50,19
nm0398786,7,88.7,5.91,408
nm0398789,2,87.5,5.10,115
nm0398801,1,,6.40,7
nm0398814,1,94.0,5.20,10
nm0398816,16,86.9,5.78,813
nm0398819,1,99.0,7.30,65
nm0398824,8,93.8,5.98,458
nm0398825,4,104.8,7.35,272
nm0398836,1,119.0,7.20,389
nm0398840,1,108.0,7.80,12
nm0398848,2,99.0,4.60,293
nm0398849,11,92.3,5.47,182
nm0398850,2,91.0,5.40,475
nm0398866,2,101.5,6.00,852
nm0398867,1,102.0,7.10,26
nm0398871,6,91.8,6.07,1143
nm0398876,3,88.5,5.80,275
nm0398898,5,72.0,6.96,46
nm0398903,6,100.8,5.43,457
nm0398905,1,79.0,6.00,5
nm0398913,1,104.0,5.60,5
nm0398926,1,92.0,6.20,5
nm0398969,8,84.7,6.11,747
nm0398979,2,85.0,5.60,342
nm0398985,14,92.4,6.28,1816
nm0398986,2,88.5,6.40,27335
nm0398987,1,91.0,6.20,61
nm0398991,1,,6.70,7
nm0399002,7,105.2,6.74,411
nm0399003,15,113.7,6.41,10405
nm0399007,4,87.5,6.53,258
nm0399015,1,,4.50,53
nm0399026,3,104.5,5.30,103
nm0399028,3,81.7,7.27,53
nm0399044,6,111.3,7.02,709
nm0399050,2,65.5,7.35,14
nm0399051,3,114.7,6.90,635
nm0399053,1,93.0,4.80,125
nm0399065,2,92.0,5.05,74
nm0399088,2,118.0,6.35,1538
nm0399102,2,124.0,7.25,54
nm0399143,1,80.0,7.90,15
nm0399196,6,70.0,1.98,661
nm0399203,3,77.3,5.40,1187
nm0399279,1,96.0,7.50,101
nm0399363,1,80.0,5.70,19
